# Training started at 20251028_045433
# Target episodes: 100000
# Device: cuda
# Format: episode, avg_score, max_score, epsilon, memory_size, time_last_100, time_total, time_remaining
# episode,avg_score,max_score,epsilon,memory_size,time_last_100,time_total,time_remaining
10300,2.87,10,0.0500,100000,6.93,635.36,5532.59
10400,2.53,11,0.0500,100000,9.11,644.47,5551.74
10500,2.82,11,0.0500,100000,5.98,650.45,5543.72
10600,2.79,12,0.0500,100000,5.61,656.06,5532.57
10700,2.67,11,0.0500,100000,7.77,663.83,5539.61
10800,2.96,11,0.0500,100000,7.79,671.62,5546.53
10900,2.14,8,0.0500,100000,11.17,682.79,5580.80
11000,2.95,9,0.0500,100000,7.19,689.99,5582.07
11100,2.98,11,0.0500,100000,7.53,697.52,5585.91
11200,2.54,11,0.0500,100000,6.49,704.02,5581.29
11300,2.56,11,0.0500,100000,9.75,713.77,5602.19
11400,2.65,13,0.0500,100000,6.72,720.48,5598.99
11500,2.59,12,0.0500,100000,8.59,729.08,5610.17
11600,2.67,10,0.0500,100000,5.14,734.22,5594.72
11700,2.66,8,0.0500,100000,9.11,743.33,5609.35
11800,2.63,8,0.0500,100000,6.37,749.70,5603.14
11900,2.60,9,0.0500,100000,8.27,757.97,5610.96
12000,2.30,8,0.0500,100000,10.25,768.22,5633.08
12100,2.61,9,0.0500,100000,5.47,773.69,5619.89
12200,3.06,8,0.0500,100000,5.87,779.56,5609.73
12300,3.18,17,0.0500,100000,8.45,788.01,5618.03
12400,2.75,10,0.0500,100000,6.99,795.00,5615.74
12500,2.86,10,0.0500,100000,6.64,801.64,5610.93
12600,3.06,11,0.0500,100000,6.12,807.76,5602.50
12700,2.59,11,0.0500,100000,6.55,814.31,5597.08
12800,2.47,8,0.0500,100000,5.46,819.77,5584.22
12900,2.48,9,0.0500,100000,5.32,825.09,5570.48
13000,2.50,8,0.0500,100000,11.27,836.36,5596.69
13100,2.20,9,0.0500,100000,5.11,841.47,5581.48
13200,2.85,9,0.0500,100000,7.79,849.26,5584.04
13300,2.85,8,0.0500,100000,5.44,854.70,5571.14
13400,3.44,12,0.0500,100000,7.38,862.08,5570.88
13500,2.36,8,0.0500,100000,6.93,869.01,5567.62
13600,2.11,10,0.0500,100000,6.35,875.36,5560.67
13700,2.81,8,0.0500,100000,6.40,881.76,5553.99
13800,2.50,9,0.0500,100000,6.19,887.95,5546.00
13900,2.90,11,0.0500,100000,5.86,893.81,5536.03
14000,2.81,12,0.0500,100000,7.80,901.62,5538.05
14100,3.14,11,0.0500,100000,7.83,909.44,5540.06
14200,3.12,12,0.0500,100000,11.40,920.84,5563.49
14300,2.95,16,0.0500,100000,7.43,928.26,5562.64
14400,2.12,10,0.0500,100000,10.26,938.52,5578.54
14500,3.30,13,0.0500,100000,6.54,945.07,5572.18
14600,3.04,10,0.0500,100000,5.17,950.24,5557.78
14700,2.24,9,0.0500,100000,8.94,959.17,5565.36
14800,2.53,11,0.0500,100000,6.47,965.64,5558.54
14900,2.36,9,0.0500,100000,8.25,973.89,5561.86
15000,2.59,13,0.0500,100000,7.43,981.32,5560.40
15100,3.03,11,0.0500,100000,5.64,986.96,5548.79
15200,3.03,9,0.0500,100000,6.89,993.85,5544.21
15300,2.70,9,0.0500,100000,7.33,1001.18,5542.04
15400,2.72,9,0.0500,100000,6.17,1007.35,5533.45
15500,2.85,11,0.0500,100000,7.86,1015.21,5534.12
15600,3.07,10,0.0500,100000,10.01,1025.23,5546.31
15700,2.56,10,0.0500,100000,7.01,1032.24,5542.11
15800,2.46,10,0.0500,100000,5.71,1037.95,5530.92
15900,3.06,11,0.0500,100000,6.55,1044.49,5524.24
16000,2.68,10,0.0500,100000,6.40,1050.90,5516.80
16100,3.39,11,0.0500,100000,7.74,1058.64,5516.34
16200,2.94,11,0.0500,100000,7.63,1066.26,5515.20
16300,2.86,11,0.0500,100000,5.70,1071.96,5504.09
16400,2.90,11,0.0500,100000,6.80,1078.76,5498.67
16500,3.53,12,0.0500,100000,6.28,1085.05,5490.60
16600,2.46,11,0.0500,100000,7.58,1092.63,5489.08
16700,2.90,10,0.0500,100000,5.86,1098.49,5478.88
16800,2.66,8,0.0500,100000,4.34,1102.82,5461.21
16900,2.66,12,0.0500,100000,5.47,1108.29,5449.27
17000,2.86,9,0.0500,100000,6.03,1114.32,5440.13
17100,2.97,12,0.0500,100000,5.84,1120.17,5430.13
17200,2.52,10,0.0500,100000,7.54,1127.71,5428.36
17300,3.16,11,0.0500,100000,4.99,1132.70,5414.30
17400,2.86,11,0.0500,100000,4.94,1137.64,5400.12
17500,2.96,12,0.0500,100000,6.25,1143.88,5392.22
17600,3.19,10,0.0500,100000,4.92,1148.81,5378.13
17700,2.80,14,0.0500,100000,6.86,1155.66,5373.13
17800,2.79,12,0.0500,100000,7.99,1163.66,5373.37
17900,2.19,9,0.0500,100000,4.43,1168.09,5357.17
18000,2.77,11,0.0500,100000,4.99,1173.08,5343.66
18100,3.06,13,0.0500,100000,5.27,1178.35,5331.51
18200,3.48,13,0.0500,100000,7.56,1185.91,5329.73
18300,2.99,10,0.0500,100000,4.81,1190.72,5315.61
18400,2.84,9,0.0500,100000,6.08,1196.80,5307.19
18500,2.83,14,0.0500,100000,6.86,1203.66,5302.26
18600,2.81,8,0.0500,100000,5.25,1208.91,5290.25
18700,2.91,12,0.0500,100000,7.14,1216.04,5286.52
18800,2.68,9,0.0500,100000,5.37,1221.42,5275.13
